id,name,creator_name,blurb,category_parent_name,category_name,state,launched,deadline,goal,pledged,percent_funded,backers_count,goal_reached,goal_exceeded,spotlight,staff_pick,project_url
1631353509,Halae: Rise of the Verdant Shadow a DnD 5e/5.5 Expansion,Dan Sprietzer,"Expanding the Halae Region for levels 4-6 with new Magic Items, Monsters, & Player Options/Classes, + Book of Natural Magic zine 07",Games,Tabletop Games,NC,2025-09-09,2025-09-30,100,1062,1062,57,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/mcup/halae-rise-of-the-verdant-shadow-and-bnm-zine-07
1169882654,Choosey: A cozy sticker game,HighStrangeness,Choosey is a game involving ten rounds of stickers. You dump the one you dislike into the Choosey Trashcan!,Games,Mobile Games,NC,2026-01-22,2026-02-21,4000,0,0,0,FALSE,FALSE,FALSE,FALSE,https://www.kickstarter.com/projects/436361914/choosey-a-cozy-sticker-game
1240501330,Amaru's World Tour,Six Wing Studios,"Help us expand Amaru's benefits to non-English speakers and earn Exclusive Rewards! Launching August 8th, 2023.",Games,Mobile Games,NC,2023-08-08,2023-09-07,50000,8017.78,16,117,FALSE,FALSE,FALSE,FALSE,https://www.kickstarter.com/projects/selfcarevirtualpet/amarus-world-tour
1579181038,Dungeon Master's Market,Tyler Church,"I am a D&D nerd. I create custom maps on Inkarnate, write campaigns, and take orders for custom designed maps that DMs need!",Games,Tabletop Games,NC,2024-08-07,2024-10-06,300,355,118,12,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/dungeonmastermarket/dungeon-masters-market
717459106,Entwined Volume 3: Winter Playing Cards Deck,Old Gravity,Based on the ballet of nature and freedom of Spirit,Games,Playing Cards,NC,2023-05-24,2023-06-23,8500,35227,414,346,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/oldgravity/entwined-volume-3-winter-playing-cards-deck
1056249153,The Fae Realms: Annwyn Bestiary & Book of Natural Magic Zine,Dan Sprietzer,"Explore wild magic and untamed jungles with harvestable treasures, exotic beasts, and new Fey creatures for your RPG!",Games,Tabletop Games,NC,2025-03-18,2025-04-16,100,2567,2567,131,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/mcup/the-fae-realms-annwyn-bestiary-and-book-of-natural-magic-zine
1238767858,The Valley of the Pharaohs - 40th Anniversary Edition,Matt Balent,Role Playing in the New Kingdom of Ancient Egypt (1450 BCE),Games,Tabletop Games,NC,2024-03-04,2024-04-03,5000,7150,143,110,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/mbalent/the-valley-of-the-pharaohs-40th-anniversary-edition
17636307,Keeping Tales of Terror Servers Alive,Terran Orion,"After 7 years of developing and funding Tales of Terror, I turn to thee, Adventurer- to keep the torch burning, and the updates coming!",Games,Video Games,NC,2024-08-08,2024-09-07,200,1017,508,25,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/spyjack/keeping-tales-of-terror-servers-alive
1944812853,IT BEGAN TACTICAL SHOOTER GAME,Ilia Denisov,"IT BEGAN is a story-driven survival game set in an underwater world full of danger, secrets, cults and unexpected choices",Games,Video Games,NC,2025-06-04,2025-07-04,15000,57,0,4,FALSE,FALSE,FALSE,FALSE,https://www.kickstarter.com/projects/itbegan/it-began-tactical-shooter-game
1734616993,Battle of the Other Worlds RPG Card Game,Alex,"PVP Space Card Battle Game. Collect rare cards, challenge friends and rank up in the leaderboards!",Games,Mobile Games,NC,2023-11-25,2023-12-25,200,1,0,1,FALSE,FALSE,FALSE,FALSE,https://www.kickstarter.com/projects/alexsorto/battle-of-the-other-worlds-rpg-card-game
1461105065,Wash-a-Pig : A Creative Training Game,Todd Turner,Wash-a-Pig is a card deck that will help you exercise creative muscles and eliminate creative block.,Games,Playing Cards,NC,2023-09-18,2023-10-19,5000,6424,128,127,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/todduhturner/wash-a-pig-a-creative-copywriting-game
1768490645,Bogeys and Beers | Golf's New Favorite Drinking Game,James Graves,"Each box contains 18 tees with a combo of jokes, challenges and drinking actions. Pick a tee each hole and let the good times roll!",Games,Live Games,NC,2023-10-17,2023-11-15,2000,3452,173,49,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/bogeysandbeers/bogeys-and-beers-golfs-new-favorite-drinking-game
1968713853,Book of Natural Magic Zine 002,Dan Sprietzer,Bringing the Magic of Nature to your Fantasy Roleplay Game,Games,Tabletop Games,NC,2024-11-26,2024-12-19,50,306,612,55,TRUE,TRUE,TRUE,FALSE,https://www.kickstarter.com/projects/mcup/book-of-natural-magic-zine-002
1104927703,Nate's Smokehouse BBQ Blends (Canceled),Nate Corbitt,Elevate your BBQ game with Nate's Smokehouse BBQ Blends.,Food,Small Batch,NC,2023-05-16,2023-07-15,35000,377,1,9,FALSE,FALSE,FALSE,FALSE,https://www.kickstarter.com/projects/natesbbqblends/nates-smokehouse-bbq-blends
